,Sentence
320,"Her writing has appeared in numerous publications worldwide, including Kwani? and McSweeney's, and her story ""The Knife Grinder’s Tale"" was made into a short film of the same title, released in 2007."
321,"Her style is alternately impressionistic and harsh, incantatory and propulsive."
322,"The Dragonfly Sea In 2019, her second novel, The Dragonfly Sea was published."
323,"Michael Halmshaw interviews Yvonne Adhiambo Owuor, ""Running to the River"", Guernica, 3 March 2014."
324,"The Dragonfly Sea is set on Pate Island, off the coast of Kenya, and about a girl named Ayaana living with her mother, Munira."
325,"In September 2015, her critically acclaimed book Dust was shortlisted for the Folio Prize, and won Kenya's pre-eminent literary prize, the Jomo Kenyatta Prize for Literature."
326,"One moment, she keeps us trapped within the bloodied walls of a torture cell; in the next, her poetic voice soars over sun-baked plains."
327,"Ron Charles of The Washington Post wrote: ""Owuor demonstrates extraordinary talent and range in these pages."
328,"She obtained an MPhil in Creative Writing from the University of Queensland, Australia."
329,Owuor has worked as a screenwriter and from 2003 to 2005 was the executive director of the Zanzibar International Film Festival.
330,"Ayaana ends up embarking on a dramatic ship's journey to the Far East, where she discovers friends and enemies; seduced by the charming but unreliable scion of a powerful Turkish business family; reclaims her devotion to the sea; and comes to find her own tenuous place amid a landscape of beauty and violence and surprising joy."
331,"""Yvonne Owuor from TEDxEuston on This Day Live"", interview with Juliette Foster, Arise News, 5 December 2014."
332,References External links Official Website Archived 31 July 2021 at the Wayback Machine Anne Kansiime on YouTube Kansiime Backpackers Archived 16 December 2017 at the Wayback Machine The Kansiime Foundation Archived 9 July 2018 at the Wayback Machine Keeping Up with Kansiime Kansiime’s Three Habits for Success Archived 19 July 2017 at the Wayback Machine Kansiime Anne’s London interview on The Sporah Show (VIDEO)
333,Business Anne Kansiime is also into leisure business.
334,The group plays every Thursday evening.
335,"Her screen breakthrough came when Citizen TV from neighboring Kenya offered her a slot to produce, star and present a comedy show once a week."
336,She received positive feedback and that encouraged her to post more videos.
337,Kansiime's comedy style tends to focus on aspects of her personal life.
338,"Her father is a retired banker, and her mother is a housewife."
339,She partnered with Brian Mulondo as a Taxi interview conductor in the MiniBuzz series and provided comic video dramatizations of topical issues that random passengers discussed.
340,"They have no children, as of February 2015."
341,The best skits were broadcast on NTV Uganda in the Barbed Wire TV show that later became U-Turn.
342,That is how she came up with the Don't Mess With Kansiime comedy show.
343,Her YouTube videos receive thousands of views and she has appeared on BBC Focus on Africa.
344,"She has played to packed houses in Blantyre, Gaborone, Kigali, Kuala Lumpur, Lagos, Lilongwe, London, Lusaka and Harare."
345,"""I like talking about things that are going on in life, because that's always going to be different and original,"" she says."
346,"At that time, she was in the process of compiling an album of Children's songs, which she intends to release later in 2015."
347,"At the time of her birth, Mparo was part of Kabale District."
348,"She has been referred to as ""Africa's Queen of Comedy"" by some African media outlets."
349,"For her O-Level and A-Level education, she studied at Bweranyangi Girls' Senior Secondary School in Bushenyi."
350,Kansiime attended Kabale Primary School.
351,"Kansiime Kubiryaba Anne (born 13 April 1986) and popularly known as Anne Kansiime, is a Ugandan entertainer, comedian, and actress."
352,"As of November 2014, her YouTube channel had amassed more than 15 million views."
353,"According to recorded interviews that she gave in 2014, Anne began posting some of her sketch comedy skits on YouTube."
354,She now supports over 35 children both in Primary and Secondary school.
355,"In Nov 2017, there were rumours that she divorced her husband."
356,"She runs Kansiime Backpackers and it is located on the shores of lake Bunyonyi, conveniently overseeing the lake Bunyonyi in Kabale District, Uganda."
357,"When Theatre Factory disintegrated, she joined Fun Factory, that replaced it."
358,She holds a Bachelor of Arts in Social Science from Makerere University.
359,"Career Beginning in 2007, while still an undergraduate at Makerere University, Kansiime began to participate in drama skits acted by the theatre group Theatre Factory, who played at the Uganda National Theatre in Kampala's central business district."
360,"She is married to Gerald Ojok, a native Acholi."
361,She is a senior editor at The American Conservative and the former managing editor of the Washington Examiner.
362,"Following the start of the 2022 Russian invasion of Ukraine Andrews signed onto a letter appearing in Compact that called for ""prudence"" by Western policymakers to avoid war with Russia."
363,Early life Andrews received a BA in religious studies from Yale University.
364,But I guess I'm probably in the minority of people who gravitated to Trump primarily based on policy rather than style.’”
365,Helen Andrews (born Helen Rittelmeyer) is an American right-wing political commentator and author.
366,"‘Those are things about him that I like, too."
367,"‘I know a lot of people in the US like him because he's a bomb-thrower, speaks his mind, upsets the establishment,’ she says."
368,"This is clear in his own account of writing two stories, “The Boozer” (술꾼) (1970) and “A Stranger’s Room” (타인의 방) (1971), which earned him a reputation as one of the most controversial novelists of the 1970s."
369,"A handful of his early stories gained notice when they won competitions sponsored by local papers (The Hanguk Ilbo in 1963, the Chosun Ilbo in 1966) and the Sasanggye Magazine (1968)."
370,"According to Choe, “The Boozer” was completed in only two hours, while “A Stranger’s Room” was written overnight for the first issue of Literature and Intelligence."
371,"In his youth, Choe was known as a prodigious drinker (""guzzler""), and in 2014 his handprints were memorialized on the sidewalk of Yonsei-ro, where he frequently drank."
372,"1984/5 detail (한誌 (84.5월호) - 한국문학특집호), Institut für Koreanische Kultur Schriftenreihe des Instituts für Koreanische Kultur."
373,It won the prestigious Yi Sang Literary Award in Korea in 1982.
374,"Choe focused on the people caught in the middle of a rapidly industrializing Korea, presenting a satirical picture of burgeoning consumerism and the resultant dehumanization."
375,"Choe Inho (Korean: 최인호, 17 October 1945 – 25 September 2013) was a South Korean writer."
376,"In the mid-1970s, Choe generalized his focus to that of alienation and wrote ""Deep Blue Night,"" which told of the harsh and alienated ""road trip"" of two Koreans in California."
377,"Besides winning the Yi Sang Literary Award, Choe was also awarded the 1972 Contemporary Literature (Hyundae Munhak) Award."
378,It was translated into English by Bruce Fulton and his wife Ju-Chan Fulton for the Literature Translation Institute of Korea and Jimoondang Publishing.
379,"His early stories (Including ""The Boozer,"" widely anthologized in English, which created general awareness of his career in 1970, though written earlier) depicted harsh and satirical landscapes of the results of consumerism."
380,"In 1987, when he was 43 years old, Choe converted to Catholicism, but nonetheless managed to extend his narrative range to include Buddhism in Road Without Road."
381,"He died September 25, 2013, at age 68 (Korean age) from salivary gland cancer."
